"Laius (mm)","Paksus (mm)","Dimensiooniühik","Nimi","Toote mall","Toote mall/Nimi","Laius (mm)","Pikkus (mm)","Paksus (mm)","Lukusta laius?","Lukusta pikkus?","Lukusta paksus?","ID","Pikkus (mm)"
"0.0","0.0","","Selgitus","[COMM] Selgitus","Selgitus","0.0","0.0","0.0","","","","42005","0.0"
"0.0","0.0","m","Tollivormistus","[CUSTOM PAPERS] Tollivormistus","Tollivormistus","0.0","0.0","0.0","","","","41753","0.0"
"0.0","0.0","","Diiselkütus","[DIISEL] Diiselkütus","Diiselkütus","0.0","0.0","0.0","","","","9592","0.0"
"0.0","0.0","m","Tasuta kohaletoimetamine","[Delivery_007] Tasuta kohaletoimetamine","Tasuta kohaletoimetamine","0.0","0.0","0.0","","","","1","0.0"
"0.0","0.0","m","The exporter of this products covered by this document declares that, except where otherwise clearly indicated, these products are of Estonian preferential origin.","[EXPORT] The exporter of this products covered by this document declares that, except where otherwise clearly indicated, these products are of Estonian preferential origin.","The exporter of this products covered by this document declares that, except where otherwise clearly indicated, these products are of Estonian preferential origin.","0.0","0.0","0.0","","","","39961","0.0"
"0.0","0.0","m","Kulud","[EXP_GEN] Kulud","Kulud","0.0","0.0","0.0","","","","173","0.0"
"0.0","0.0","","Muud","[EXP_GEN] Muud","Muud","0.0","0.0","0.0","","","","42006","0.0"
"0.0","0.0","","Toidukorrad","[FOOD] Toidukorrad","Toidukorrad","0.0","0.0","0.0","","","","42001","0.0"
"0.0","0.0","m","Vedelgaas LPG","[GAAS] Vedelgaas LPG","Vedelgaas LPG","0.0","0.0","0.0","","","","9591","0.0"
"0.0","0.0","","Kingitused","[GIFT] Kingitused","Kingitused","0.0","0.0","0.0","","","","42004","0.0"
"100.0","19.0","mm","Haab 19x100 SMM","Haab 19x100 SMM","Haab 19x100 SMM","0.0","0.0","0.0","","","","42240","1000.0"
"100.0","19.0","mm","Haab 19x100 SMM","Haab 19x100 SMM","Haab 19x100 SMM","0.0","0.0","0.0","","","","42304","1100.0"
"100.0","19.0","mm","Haab 19x100 SMM","Haab 19x100 SMM","Haab 19x100 SMM","0.0","0.0","0.0","","","","42241","1200.0"
"100.0","19.0","mm","Haab 19x100 SMM","Haab 19x100 SMM","Haab 19x100 SMM","0.0","0.0","0.0","","","","42305","1300.0"
"100.0","19.0","mm","Haab 19x100 SMM","Haab 19x100 SMM","Haab 19x100 SMM","0.0","0.0","0.0","","","","42306","1400.0"
"100.0","19.0","mm","Haab 19x100 SMM","Haab 19x100 SMM","Haab 19x100 SMM","0.0","0.0","0.0","","","","42242","1500.0"
"100.0","19.0","mm","Haab 19x100 SMM","Haab 19x100 SMM","Haab 19x100 SMM","0.0","0.0","0.0","","","","42243","1600.0"
"100.0","19.0","mm","Haab 19x100 SMM","Haab 19x100 SMM","Haab 19x100 SMM","0.0","0.0","0.0","","","","42244","1700.0"
"100.0","19.0","mm","Haab 19x100 SMM","Haab 19x100 SMM","Haab 19x100 SMM","0.0","0.0","0.0","","","","42245","1800.0"
"100.0","19.0","mm","Haab 19x100 SMM","Haab 19x100 SMM","Haab 19x100 SMM","0.0","0.0","0.0","","","","42247","2100.0"
"100.0","19.0","mm","Haab 19x100 SMM","Haab 19x100 SMM","Haab 19x100 SMM","0.0","0.0","0.0","","","","42249","2400.0"
"100.0","19.0","mm","Haab 19x100 SMM","Haab 19x100 SMM","Haab 19x100 SMM","0.0","0.0","0.0","","","","42251","2700.0"
"100.0","19.0","mm","Haab 19x100 SMM","Haab 19x100 SMM","Haab 19x100 SMM","0.0","0.0","0.0","","","","42307","2900.0"
"100.0","19.0","mm","Haab 19x100 SMM","Haab 19x100 SMM","Haab 19x100 SMM","0.0","0.0","0.0","","","","42253","3000.0"
"100.0","19.0","mm","Haab 19x100 SMM","Haab 19x100 SMM","Haab 19x100 SMM","0.0","0.0","0.0","","","","42254","3300.0"
"100.0","19.0","mm","Haab 19x100 SMM","Haab 19x100 SMM","Haab 19x100 SMM","0.0","0.0","0.0","","","","42255","3600.0"
"100.0","19.0","mm","Haab 19x100 SMM","Haab 19x100 SMM","Haab 19x100 SMM","0.0","0.0","0.0","","","","42256","3900.0"
"100.0","19.0","mm","Haab 19x100 SMM","Haab 19x100 SMM","Haab 19x100 SMM","0.0","0.0","0.0","","","","42843","400.0"
"100.0","19.0","mm","Haab 19x100 SMM","Haab 19x100 SMM","Haab 19x100 SMM","0.0","0.0","0.0","","","","42257","500.0"
"100.0","19.0","mm","Haab 19x100 SMM","Haab 19x100 SMM","Haab 19x100 SMM","0.0","0.0","0.0","","","","42238","600.0"
